Index,Song Name,Streams,Artist,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Valence,Release Year,Duration (minutes),artist,song,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,genre
1,Lover (Remix) [feat. Shawn Mendes],4595450.0,Taylor Swift,Pop,70.0,36.0,60.0,67.0,5.0,44.0,7.0,205.272,41.0,2019.0,3.69,,,,,,,,,,,,,,,,
2,Whine Up,5130783.0,"Nicky Jam, Anuel AA",Rock,70.0,80.0,67.0,71.0,6.0,6.0,9.0,104.957,67.0,2019.0,3.59,,,,,,,,,,,,,,,,
3,TOES (feat. Lil Baby & Moneybagg Yo),4878903.0,DaBaby,Rock,73.0,80.0,58.0,79.0,37.0,8.0,8.0,160.004,54.0,2019.0,2.27,,,,,,,,,,,,,,,,
4,Golden,5298893.0,Harry Styles,Pop,83.0,36.0,86.0,75.0,4.0,21.0,12.0,139.863,23.0,2019.0,3.48,,,,,,,,,,,,,,,,
5,Boy With Luv (feat. Halsey),5266625.0,BTS,Pop,82.0,60.0,88.0,77.0,9.0,9.0,18.0,119.991,81.0,2019.0,3.83,,,,,,,,,,,,,,,,
6,Teeth,4571612.0,5 Seconds of Summer,Rock,78.0,72.0,44.0,83.0,2.0,5.0,6.0,139.02,41.0,2019.0,3.41,,,,,,,,,,,,,,,,
7,I.F.L.Y.,4284951.0,Bazzi,Electronic,76.0,80.0,51.0,76.0,2.0,38.0,12.0,104.954,55.0,2019.0,2.76,,,,,,,,,,,,,,,,
8,Woah,4425610.0,Lil Baby,Rock,69.0,88.0,60.0,74.0,26.0,2.0,17.0,142.959,42.0,2019.0,3.05,,,,,,,,,,,,,,,,
9,Falling,5294368.0,Harry Styles,Pop,83.0,50.0,23.0,70.0,1.0,85.0,7.0,110.011,3.0,2019.0,4.0,,,,,,,,,,,,,,,,
10,Cradles,4218201.0,Sub Urban,Pop,73.0,46.0,58.0,87.0,35.0,26.0,17.0,78.616,63.0,2019.0,3.5,,,,,,,,,,,,,,,,
11,If the World Was Ending - feat. Julia Michaels,5127736.0,JP Saxe,Rock,82.0,38.0,46.0,57.0,12.0,87.0,9.0,75.801,60.0,2019.0,3.48,,,,,,,,,,,,,,,,
12,Heart On Ice,4324610.0,Rod Wave,Hip Hop,70.0,70.0,37.0,63.0,6.0,5.0,13.0,157.878,22.0,2019.0,2.66,,,,,,,,,,,,,,,,
13,Takeaway,4359727.0,"The Chainsmokers, ILLENIUM, Lennon Stella",Electronic,77.0,46.0,50.0,64.0,1.0,13.0,9.0,100.1,34.0,2019.0,3.5,,,,,,,,,,,,,,,,
14,The Take (feat. Chris Brown),4394195.0,Tory Lanez,Rock,73.0,38.0,54.0,64.0,37.0,5.0,14.0,67.003,41.0,2019.0,3.69,,,,,,,,,,,,,,,,
15,Robbery,5024884.0,Juice WRLD,Hip Hop,83.0,64.0,70.0,75.0,3.0,33.0,14.0,159.966,58.0,2019.0,4.0,,,,,,,,,,,,,,,,
16,Blanco,4214147.0,J Balvin,Reggae,66.0,87.0,71.0,74.0,12.0,3.0,7.0,100.013,59.0,2019.0,2.43,,,,,,,,,,,,,,,,
17,Hate Me (with Juice WRLD),4367368.0,Ellie Goulding,Electronic,76.0,61.0,78.0,77.0,3.0,11.0,13.0,75.025,77.0,2019.0,3.1,,,,,,,,,,,,,,,,
18,Tutu,4393037.0,"Camilo, Pedro Capó",Reggae,74.0,70.0,85.0,85.0,3.0,28.0,5.0,146.013,96.0,2019.0,2.98,,,,,,,,,,,,,,,,
19,"Alone, Pt. II",4395061.0,"Alan Walker, Ava Max",Electronic,77.0,63.0,67.0,78.0,2.0,54.0,12.0,88.033,61.0,2019.0,2.98,,,,,,,,,,,,,,,,
20,SUGAR,4362442.0,BROCKHAMPTON,Rock,75.0,37.0,53.0,64.0,5.0,45.0,18.0,122.973,51.0,2019.0,3.41,,,,,,,,,,,,,,,,
21,Sanctuary,5482390.0,Joji,Rock,69.0,48.0,65.0,67.0,12.0,43.0,37.0,167.788,30.0,2019.0,3.0,,,,,,,,,,,,,,,,
22,LA CANCIÓN,4959754.0,"J Balvin, Bad Bunny",Reggae,83.0,73.0,65.0,73.0,34.0,15.0,9.0,176.089,42.0,2019.0,4.04,,,,,,,,,,,,,,,,
23,How Do You Sleep?,4313625.0,Sam Smith,Pop,76.0,39.0,69.0,76.0,8.0,15.0,6.0,110.567,33.0,2019.0,3.37,,,,,,,,,,,,,,,,
24,Moral of the Story,4609358.0,Ashe,Electronic,75.0,51.0,38.0,62.0,2.0,59.0,9.0,119.812,25.0,2019.0,3.35,,,,,,,,,,,,,,,,
25,Hasta Abajo,5269163.0,"Kevin Roldan, Bryant Myers, Lyanno",Rock,77.0,68.0,67.0,75.0,39.0,29.0,32.0,169.732,64.0,2019.0,3.83,,,,,,,,,,,,,,,,
26,A Gente Fez Amor - Ao Vivo,5006457.0,Gusttavo Lima,Pop,66.0,78.0,96.0,85.0,1.0,37.0,100.0,134.012,84.0,2019.0,3.96,,,,,,,,,,,,,,,,
27,Ayy Macarena,5046905.0,Tyga,Rock,74.0,80.0,63.0,73.0,24.0,13.0,5.0,96.493,72.0,2019.0,2.19,,,,,,,,,,,,,,,,
28,HIGHEST IN THE ROOM,4975720.0,Travis Scott,Electronic,84.0,54.0,41.0,61.0,1.0,6.0,20.0,76.469,3.0,2019.0,2.93,,,,,,,,,,,,,,,,
29,The Box,5145099.0,Roddy Ricch,Hip Hop,84.0,90.0,58.0,69.0,4.0,10.0,82.0,116.971,64.0,2019.0,3.28,,,,,,,,,,,,,,,,
30,Adicto (with Anuel AA & Ozuna),4785720.0,Tainy,Rock,75.0,70.0,85.0,76.0,6.0,2.0,17.0,80.002,62.0,2019.0,4.51,,,,,,,,,,,,,,,,
31,Dior,5092354.0,Pop Smoke,Hip Hop,83.0,48.0,82.0,73.0,38.0,21.0,41.0,142.094,65.0,2019.0,3.61,,,,,,,,,,,,,,,,
32,7 rings,5002227.0,Ariana Grande,Pop,85.0,76.0,29.0,54.0,36.0,60.0,7.0,140.048,31.0,2019.0,2.98,,,,,,,,,,,,,,,,
33,Breaking Me,4977498.0,"Topic, A7S",Electronic,84.0,77.0,73.0,73.0,23.0,23.0,12.0,122.031,67.0,2019.0,2.78,,,,,,,,,,,,,,,,
34,Que Calor (with J Balvin & El Alfa),4950254.0,"Major Lazer, Diplo",Electronic,29.0,87.0,66.0,72.0,5.0,0.0,6.0,125.982,54.0,2019.0,3.45,,,,,,,,,,,,,,,,
35,Si Te Vas,4954292.0,"Sech, Ozuna",Reggae,67.0,70.0,64.0,79.0,13.0,9.0,13.0,174.101,55.0,2019.0,3.42,,,,,,,,,,,,,,,,
36,Lottery (Renegade),4994448.0,K CAMP,Rock,61.0,92.0,55.0,62.0,22.0,1.0,6.0,148.964,67.0,2019.0,2.85,,,,,,,,,,,,,,,,
37,SENTADÃO,5013019.0,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",Funk/Soul,64.0,64.0,89.0,87.0,4.0,18.0,22.0,173.997,94.0,2019.0,2.39,,,,,,,,,,,,,,,,
38,all the good girls go to hell,5074485.0,Billie Eilish,"Electronic, Pop",75.0,69.0,43.0,61.0,41.0,29.0,17.0,185.044,57.0,2019.0,2.81,,,,,,,,,,,,,,,,
39,Perreo en La Luna,5135469.0,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",Reggae,66.0,68.0,77.0,79.0,31.0,27.0,37.0,174.013,73.0,2019.0,3.64,,,,,,,,,,,,,,,,
40,Tudo Ok,5510844.0,"Thiaguinho MT, Mila, JS o Mão de Ouro",Funk/Soul,57.0,80.0,77.0,71.0,8.0,24.0,30.0,79.976,98.0,2019.0,2.98,,,,,,,,,,,,,,,,
41,Ride It,5235088.0,Regard,Electronic,84.0,88.0,76.0,78.0,7.0,18.0,9.0,117.948,90.0,2019.0,2.63,,,,,,,,,,,,,,,,
42,Truth Hurts,5024683.0,Lizzo,Rock,77.0,68.0,62.0,83.0,11.0,11.0,11.0,158.087,40.0,2019.0,2.89,,,,,,,,,,,,,,,,
43,Tusa,5510113.0,"KAROL G, Nicki Minaj",Reggae,80.0,79.0,72.0,82.0,32.0,30.0,4.0,101.085,57.0,2019.0,3.35,,,,,,,,,,,,,,,,
44,Trampoline (with ZAYN),5075520.0,SHAED,Electronic,73.0,57.0,44.0,73.0,1.0,57.0,12.0,126.803,49.0,2019.0,3.07,,,,,,,,,,,,,,,,
45,Quizas,5112244.0,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Reggae,73.0,70.0,83.0,85.0,15.0,3.0,22.0,176.075,68.0,2019.0,3.6,,,,,,,,,,,,,,,,
46,You Need To Calm Down,5115153.0,Taylor Swift,Pop,78.0,75.0,67.0,73.0,4.0,1.0,5.0,85.026,72.0,2019.0,2.86,,,,,,,,,,,,,,,,
47,QUE PRETENDES,5141047.0,"J Balvin, Bad Bunny",Reggae,77.0,59.0,80.0,78.0,27.0,3.0,36.0,92.603,96.0,2019.0,3.71,,,,,,,,,,,,,,,,
48,Own It (feat. Ed Sheeran & Burna Boy),5273046.0,Stormzy,Rock,72.0,80.0,79.0,79.0,10.0,1.0,11.0,104.0,35.0,2019.0,3.61,,,,,,,,,,,,,,,,
49,GOODMORNINGTOKYO!,5286044.0,TOKYO’S REVENGE,Hip Hop,74.0,91.0,53.0,65.0,39.0,4.0,25.0,124.918,67.0,2019.0,2.5,,,,,,,,,,,,,,,,
50,Futsal Shuffle 2020,5386512.0,Lil Uzi Vert,Hip Hop,67.0,88.0,44.0,64.0,15.0,3.0,22.0,136.97,28.0,2019.0,3.32,,,,,,,,,,,,,,,,
51,Que Tire Pa Lante,5436773.0,Daddy Yankee,Rock,72.0,61.0,92.0,84.0,1.0,5.0,11.0,93.979,71.0,2019.0,3.51,,,,,,,,,,,,,,,,
52,Infeliz,5490386.0,"Arcangel, Bad Bunny",Rock,72.0,68.0,81.0,83.0,23.0,37.0,24.0,176.073,73.0,2019.0,3.69,,,,,,,,,,,,,,,,
53,Bellaquita - Remix,5676621.0,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",Reggae,67.0,78.0,72.0,81.0,7.0,14.0,17.0,165.941,77.0,2019.0,5.08,,,,,,,,,,,,,,,,
54,VIBEZ,5121486.0,DaBaby,Rock,75.0,74.0,65.0,84.0,33.0,11.0,9.0,154.187,79.0,2019.0,2.42,,,,,,,,,,,,,,,,
55,Aventura,5206102.0,"Lunay, Ozuna, Anuel AA",Reggae,68.0,70.0,73.0,82.0,2.0,23.0,9.0,92.025,89.0,2019.0,3.62,,,,,,,,,,,,,,,,
56,South of the Border (feat. Camila Cabello & Cardi B),5315827.0,Ed Sheeran,Pop,77.0,85.0,62.0,70.0,7.0,15.0,7.0,97.989,67.0,2019.0,3.41,,,,,,,,,,,,,,,,
57,Soltera - Remix,5078459.0,"Lunay, Daddy Yankee, Bad Bunny",Reggae,75.0,78.0,80.0,78.0,2.0,36.0,44.0,92.01,81.0,2019.0,4.43,,,,,,,,,,,,,,,,
58,CITY OF ANGELS,4645541.0,24kGoldn,Hip Hop,76.0,65.0,53.0,76.0,3.0,4.0,5.0,120.082,73.0,2019.0,1.87,,,,,,,,,,,,,,,,
59,Goodbyes (Feat. Young Thug),5134161.0,Post Malone,Hip Hop,78.0,48.0,65.0,80.0,7.0,46.0,9.0,150.068,14.0,2019.0,2.91,,,,,,,,,,,,,,,,
60,Say So,5103528.0,Doja Cat,Pop,82.0,77.0,68.0,77.0,16.0,27.0,8.0,110.962,79.0,2019.0,3.96,,,,,,,,,,,,,,,,
61,Like That (feat. Gucci Mane),4565377.0,Doja Cat,Pop,77.0,88.0,48.0,72.0,18.0,24.0,8.0,106.044,39.0,2019.0,2.72,,,,,,,,,,,,,,,,
62,High Fashion (feat. Mustard),4592772.0,Roddy Ricch,Hip Hop,77.0,82.0,49.0,63.0,11.0,27.0,30.0,97.956,51.0,2019.0,3.67,,,,,,,,,,,,,,,,
63,Hola - Remix,4617726.0,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Reggae,77.0,61.0,67.0,72.0,33.0,48.0,6.0,181.857,33.0,2019.0,4.16,,,,,,,,,,,,,,,,
64,China,4627026.0,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",Reggae,77.0,77.0,82.0,80.0,8.0,9.0,7.0,105.027,61.0,2019.0,5.03,,,,,,,,,,,,,,,,
65,Old Town Road - Remix,4643817.0,"Lil Nas X, Billy Ray Cyrus",Rock,81.0,88.0,62.0,73.0,9.0,5.0,10.0,136.041,64.0,2019.0,2.62,,,,,,,,,,,,,,,,
66,Ransom,5097394.0,Lil Tecca,Hip Hop,80.0,72.0,64.0,71.0,31.0,2.0,5.0,179.974,20.0,2019.0,2.19,,,,,,,,,,,,,,,,
67,Are You Bored Yet? (feat. Clairo),4911995.0,Wallows,Rock,81.0,64.0,69.0,70.0,1.0,16.0,27.0,120.023,64.0,2019.0,2.97,,,,,,,,,,,,,,,,
68,"10,000 Hours (with Justin Bieber)",4911749.0,Dan + Shay,Pop,83.0,61.0,63.0,77.0,0.0,15.0,10.0,89.991,42.0,2019.0,2.79,,,,,,,,,,,,,,,,
69,Wow.,4351784.0,Post Malone,Hip Hop,80.0,82.0,53.0,67.0,21.0,14.0,9.0,99.96,38.0,2019.0,2.49,,,,,,,,,,,,,,,,
70,Higher Love,4392936.0,"Kygo, Whitney Houston",Electronic,79.0,65.0,68.0,68.0,1.0,2.0,9.0,103.952,39.0,2019.0,3.8,,,,,,,,,,,,,,,,
71,El Efecto,4466143.0,"Rauw Alejandro, Chencho Corleone",Pop,76.0,84.0,79.0,77.0,16.0,41.0,6.0,84.041,91.0,2019.0,3.62,,,,,,,,,,,,,,,,
72,Still Don't Know My Name,4926802.0,Labrinth,Pop,80.0,20.0,63.0,72.0,11.0,48.0,20.0,89.643,30.0,2019.0,2.55,,,,,,,,,,,,,,,,
73,Goodbyes (feat. Young Thug),4527742.0,Post Malone,Hip Hop,78.0,48.0,65.0,80.0,7.0,46.0,9.0,150.068,14.0,2019.0,2.91,,,,,,,,,,,,,,,,
74,Ballin' (with Roddy Ricch),4436934.0,Mustard,Rock,80.0,79.0,54.0,69.0,6.0,40.0,14.0,97.008,22.0,2019.0,3.01,,,,,,,,,,,,,,,,
75,Bandit (with YoungBoy Never Broke Again),4514763.0,Juice WRLD,Hip Hop,81.0,39.0,63.0,72.0,37.0,7.0,12.0,180.051,41.0,2019.0,3.16,,,,,,,,,,,,,,,,
76,Dancing With A Stranger (with Normani),5229835.0,Sam Smith,Pop,78.0,71.0,51.0,66.0,5.0,45.0,21.0,102.998,33.0,2019.0,2.85,,,,,,,,,,,,,,,,
77,OUT WEST (feat. Young Thug),4597001.0,"JACKBOYS, Travis Scott",Hip Hop,82.0,79.0,59.0,76.0,23.0,1.0,19.0,139.864,29.0,2019.0,2.63,,,,,,,,,,,,,,,,
78,RITMO (Bad Boys For Life),4585895.0,"Black Eyed Peas, J Balvin",Pop,78.0,69.0,72.0,68.0,5.0,3.0,23.0,104.994,67.0,2019.0,3.7,,,,,,,,,,,,,,,,
79,"thank u, next",5079328.0,Ariana Grande,Pop,82.0,68.0,65.0,73.0,5.0,23.0,9.0,106.966,40.0,2019.0,3.46,,,,,,,,,,,,,,,,
80,Mariposa,4593366.0,Peach Tree Rascals,Rock,76.0,63.0,51.0,72.0,1.0,62.0,36.0,112.011,41.0,2019.0,3.5,,,,,,,,,,,,,,,,
81,It's You,4674658.0,Ali Gatie,Rock,81.0,70.0,45.0,68.0,1.0,38.0,18.0,95.971,39.0,2019.0,3.54,,,,,,,,,,,,,,,,
82,Jangueo,4877753.0,"Alex Rose, Rafa Pabön",Reggae,74.0,86.0,68.0,79.0,4.0,26.0,9.0,103.994,73.0,2019.0,4.33,,,,,,,,,,,,,,,,
83,Bruises,4560503.0,Lewis Capaldi,Pop,80.0,71.0,28.0,65.0,5.0,95.0,18.0,111.202,35.0,2019.0,3.67,,,,,,,,,,,,,,,,
84,Supalonely,5089970.0,"BENEE, Gus Dapperton",Pop,77.0,86.0,63.0,77.0,4.0,31.0,11.0,128.977,83.0,2019.0,3.72,,,,,,,,,,,,,,,,
85,No Guidance (feat. Drake),4641393.0,Chris Brown,Pop,80.0,66.0,44.0,69.0,15.0,12.0,14.0,92.928,11.0,2019.0,4.34,,,,,,,,,,,,,,,,
86,Surtada - Remix Brega Funk,4607385.0,"Dadá Boladão, Tati Zaqui, OIK",Funk/Soul,60.0,82.0,54.0,68.0,4.0,25.0,17.0,154.064,90.0,2019.0,2.55,,,,,,,,,,,,,,,,
87,Beautiful People (feat. Khalid),4813796.0,Ed Sheeran,Pop,79.0,59.0,65.0,64.0,19.0,13.0,6.0,92.977,54.0,2019.0,3.3,,,,,,,,,,,,,,,,
88,Adore You,5166847.0,Harry Styles,Pop,84.0,63.0,78.0,81.0,3.0,2.0,9.0,99.048,57.0,2019.0,3.45,,,,,,,,,,,,,,,,
89,BOP,4496450.0,DaBaby,Rock,80.0,75.0,80.0,80.0,40.0,19.0,12.0,126.77,85.0,2019.0,2.66,,,,,,,,,,,,,,,,
90,Christmas Tree Farm,6657404.0,Taylor Swift,Pop,52.0,54.0,68.0,77.0,1.0,6.0,32.0,134.002,43.0,2019.0,3.8,,,,,,,,,,,,,,,,
